id,Response
229800,1.0
38106,0.0
130978,0.0
128335,1.0
120813,0.0
230155,1.0
58697,2.0
161664,1.0
12415,1.0
16812,1.0
155646,1.0
163352,1.0
303423,1.0
43888,0.0
122674,0.0
177337,1.0
322751,1.0
139750,0.0
56430,1.0
179956,1.0
263828,1.0
138809,0.0
312432,1.0
340821,0.0
50588,0.0
88103,1.0
183811,1.0
372599,0.0
305378,0.0
78545,0.0
132507,0.0
261793,1.0
169477,0.0
216044,0.0
339339,1.0
293163,0.0
354335,1.0
375113,1.0
256179,0.0
350905,1.0
198156,0.0
107788,0.0
367279,1.0
355344,1.0
18585,0.0
338682,0.0
59467,0.0
328381,0.0
154887,0.0
219412,1.0
214362,0.0
145407,0.0
299943,1.0
277406,1.0
294568,1.0
62421,1.0
176168,0.0
125212,1.0
9631,0.0
143760,0.0
163147,1.0
364079,0.0
196307,0.0
312218,1.0
157914,0.0
173031,1.0
113244,2.0
38956,0.0
187253,0.0
26559,0.0
167587,0.0
6559,0.0
116904,0.0
214845,1.0
107135,1.0
325553,1.0
231778,1.0
58052,1.0
17751,1.0
240123,0.0
364265,1.0
123641,0.0
231180,0.0
242465,1.0
171684,0.0
301216,1.0
152764,1.0
245458,1.0
136145,1.0
284123,0.0
190977,1.0
23427,1.0
10910,1.0
134149,0.0
79502,1.0
376610,1.0
90567,1.0
161578,1.0
61901,1.0
239989,0.0
254461,1.0
278942,0.0
308115,0.0
147858,0.0
104967,1.0
304359,2.0
254300,0.0
246514,1.0
323416,2.0
263683,0.0
223557,0.0
218521,1.0
239179,1.0
303516,0.0
236422,0.0
41205,1.0
43470,1.0
79772,0.0
184451,1.0
208476,0.0
191641,0.0
199385,1.0
121857,1.0
83995,0.0
190577,0.0
83101,1.0
305936,1.0
152628,1.0
267842,1.0
169310,0.0
45554,1.0
2698,1.0
321760,0.0
270663,1.0
172613,0.0
312401,1.0
48916,1.0
329470,1.0
75570,0.0
286976,2.0
343189,0.0
79574,0.0
43293,1.0
286677,0.0
277970,0.0
314544,0.0
237745,0.0
182783,1.0
190153,1.0
301581,0.0
304134,0.0
348048,0.0
248336,0.0
67266,0.0
231027,0.0
306905,1.0
258157,1.0
153523,1.0
168297,0.0
94968,0.0
136336,0.0
178618,0.0
191348,1.0
51918,1.0
359092,0.0
319287,0.0
195662,1.0
299345,1.0
48826,0.0
289281,0.0
379751,0.0
362777,1.0
237431,0.0
307877,0.0
129552,1.0
329034,0.0
314145,0.0
349878,1.0
118833,1.0
179384,0.0
18730,0.0
333989,0.0
370612,1.0
147292,0.0
143554,0.0
216019,1.0
370356,1.0
109114,1.0
175447,1.0
147269,1.0
88839,0.0
255797,1.0
93715,0.0
244824,1.0
5941,0.0
88228,0.0
326472,0.0
156693,0.0
220215,1.0
63348,1.0
195823,0.0
350811,1.0
77854,1.0
22918,0.0
90201,1.0
219128,1.0
112642,0.0
265110,1.0
349131,0.0
231498,1.0
277410,0.0
300327,0.0
63668,1.0
239215,1.0
73039,0.0
258098,0.0
